cif name= ./4329528.cif
./4329528.cif
Full Formula (Na16 Nb16 O48)
Reduced Formula: NaNbO3
abc   :   7.856840   7.867480  15.727950
angles:  90.000000  90.000000  90.000000
Sites (80)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  Na    0       0       0.122
  1  Na    0.5     0.5     0.878
  2  Na    0       0       0.376
  3  Na    0.5     0.5     0.624
  4  Na    0       0       0.619
  5  Na    0.5     0.5     0.381
  6  Na    0       0       0.875
  7  Na    0.5     0.5     0.125
  8  Na    0       0.5     0.129
  9  Na    0.5     0       0.871
 10  Na    0       0.5     0.376
 11  Na    0.5     0       0.624
 12  Na    0       0.5     0.626
 13  Na    0.5     0       0.374
 14  Na    0       0.5     0.873
 15  Na    0.5     0       0.127
 16  Nb    0.75    0.75    0
 17  Nb    0.25    0.75    0
 18  Nb    0.75    0.25    0
 19  Nb    0.25    0.25    0
 20  Nb    0.751   0.7501  0.2501
 21  Nb    0.249   0.7501  0.2501
 22  Nb    0.751   0.2499  0.2501
 23  Nb    0.249   0.2499  0.2501
 24  Nb    0.749   0.7499  0.7499
 25  Nb    0.251   0.7499  0.7499
 26  Nb    0.749   0.2501  0.7499
 27  Nb    0.251   0.2501  0.7499
 28  Nb    0.75    0.75    0.5
 29  Nb    0.25    0.75    0.5
 30  Nb    0.75    0.25    0.5
 31  Nb    0.25    0.25    0.5
 32  O     0       0.7502  0.9835
 33  O     0       0.2498  0.9835
 34  O     0.5     0.7498  0.0165
 35  O     0.5     0.2502  0.0165
 36  O     0       0.7181  0.2635
 37  O     0       0.2819  0.2635
 38  O     0.5     0.7819  0.7365
 39  O     0.5     0.2181  0.7365
 40  O     0       0.7877  0.4944
 41  O     0       0.2123  0.4944
 42  O     0.5     0.7123  0.5056
 43  O     0.5     0.2877  0.5056
 44  O     0       0.7158  0.7674
 45  O     0       0.2842  0.7674
 46  O     0.5     0.7842  0.2326
 47  O     0.5     0.2158  0.2326
 48  O     0.7712  0.7335  0.1244
 49  O     0.2288  0.7335  0.1244
 50  O     0.7712  0.2665  0.1244
 51  O     0.2288  0.2665  0.1244
 52  O     0.7288  0.7665  0.8756
 53  O     0.2712  0.7665  0.8756
 54  O     0.7288  0.2335  0.8756
 55  O     0.2712  0.2335  0.8756
 56  O     0.728   0.7453  0.3755
 57  O     0.272   0.7453  0.3755
 58  O     0.728   0.2547  0.3755
 59  O     0.272   0.2547  0.3755
 60  O     0.772   0.7547  0.6245
 61  O     0.228   0.7547  0.6245
 62  O     0.772   0.2453  0.6245
 63  O     0.228   0.2453  0.6245
 64  O     0.7552  0       0.01
 65  O     0.2448  0       0.01
 66  O     0.7448  0.5     0.99
 67  O     0.2552  0.5     0.99
 68  O     0.7807  0       0.2585
 69  O     0.2193  0       0.2585
 70  O     0.7193  0.5     0.7415
 71  O     0.2807  0.5     0.7415
 72  O     0.7143  0       0.4981
 73  O     0.2857  0       0.4981
 74  O     0.7857  0.5     0.5019
 75  O     0.2143  0.5     0.5019
