cif name= ./7708735.cif
./7708735.cif
Full Formula (K12 Na4 Ta4 Si4 F52)
Reduced Formula: K3NaTaSiF13
abc   :   5.680900  11.881600  16.273300
angles:  90.000000  90.000000  90.000000
Sites (76)
  #  SP         a        b        c
---  ----  ------  -------  -------
  0  K     0       0.28721  0.13955
  1  K     0       0.71279  0.13955
  2  K     0       0.28721  0.86045
  3  K     0       0.71279  0.86045
  4  K     0       0.5      0.63278
  5  K     0       0.5      0.36722
  6  K     0.5     0.78721  0.63955
  7  K     0.5     0.21279  0.63955
  8  K     0.5     0.78721  0.36045
  9  K     0.5     0.21279  0.36045
 10  K     0.5     0        0.13278
 11  K     0.5     0        0.86722
 12  Na    0       0        0
 13  Na    0.5     0.5      0
 14  Na    0.5     0.5      0.5
 15  Na    0       0        0.5
 16  Ta    0.5     0.5      0.76992
 17  Ta    0.5     0.5      0.23008
 18  Ta    0       0        0.26992
 19  Ta    0       0        0.73008
 20  Si    0.5     0.23003  0
 21  Si    0.5     0.76997  0
 22  Si    0       0.73003  0.5
 23  Si    0       0.26997  0.5
 24  F     0.5     0.2285   0.10229
 25  F     0.5     0.7715   0.10229
 26  F     0.5     0.2285   0.89771
 27  F     0.5     0.7715   0.89771
 28  F     0.7209  0.61723  0.74318
 29  F     0.2791  0.38277  0.74318
 30  F     0.2791  0.61723  0.25682
 31  F     0.7209  0.38277  0.25682
 32  F     0.2791  0.38277  0.25682
 33  F     0.7209  0.61723  0.25682
 34  F     0.7209  0.38277  0.74318
 35  F     0.2791  0.61723  0.74318
 36  F     0.2883  0.3286   0
 37  F     0.7117  0.6714   0
 38  F     0.7117  0.3286   0
 39  F     0.2883  0.6714   0
 40  F     0.7068  0.5      0.86419
 41  F     0.2932  0.5      0.86419
 42  F     0.2932  0.5      0.13581
 43  F     0.7068  0.5      0.13581
 44  F     0.2915  0.1272   0
 45  F     0.7085  0.8728   0
 46  F     0.7085  0.1272   0
 47  F     0.2915  0.8728   0
 48  F     0.5     0.5      0.6451
 49  F     0.5     0.5      0.3549
