cif name= ./1542040.cif
./1542040.cif
Full Formula (Na16 Cd8 Si12 O40)
Reduced Formula: Na4Cd2Si3O10
abc   :  10.000000   5.830000  16.800000
angles:  90.000000 100.000000  90.000000
Sites (76)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  Na    0.671  0.105  0.245
  1  Na    0.329  0.105  0.255
  2  Na    0.329  0.895  0.755
  3  Na    0.671  0.895  0.745
  4  Na    0.753  0.935  0.061
  5  Na    0.247  0.935  0.439
  6  Na    0.247  0.065  0.939
  7  Na    0.753  0.065  0.561
  8  Na    0.171  0.605  0.245
  9  Na    0.829  0.605  0.255
 10  Na    0.829  0.395  0.755
 11  Na    0.171  0.395  0.745
 12  Na    0.253  0.435  0.061
 13  Na    0.747  0.435  0.439
 14  Na    0.747  0.565  0.939
 15  Na    0.253  0.565  0.561
 16  Cd    0.598  0.401  0.085
 17  Cd    0.402  0.401  0.415
 18  Cd    0.402  0.599  0.915
 19  Cd    0.598  0.599  0.585
 20  Cd    0.098  0.901  0.085
 21  Cd    0.902  0.901  0.415
 22  Cd    0.902  0.099  0.915
 23  Cd    0.098  0.099  0.585
 24  Si    0.434  0.893  0.101
 25  Si    0.566  0.893  0.399
 26  Si    0.566  0.107  0.899
 27  Si    0.434  0.107  0.601
 28  Si    0.5    0.619  0.25
 29  Si    0.5    0.381  0.75
 30  Si    0.934  0.393  0.101
 31  Si    0.066  0.393  0.399
 32  Si    0.066  0.607  0.899
 33  Si    0.934  0.607  0.601
 34  Si    0      0.119  0.25
 35  Si    0      0.881  0.75
 36  O     0.576  0.039  0.118
 37  O     0.424  0.039  0.382
 38  O     0.424  0.961  0.882
 39  O     0.576  0.961  0.618
 40  O     0.438  0.669  0.044
 41  O     0.562  0.669  0.456
 42  O     0.562  0.331  0.956
 43  O     0.438  0.331  0.544
 44  O     0.106  0.969  0.209
 45  O     0.894  0.969  0.291
 46  O     0.894  0.031  0.791
 47  O     0.106  0.031  0.709
 48  O     0.299  0.047  0.073
 49  O     0.701  0.047  0.427
 50  O     0.701  0.953  0.927
 51  O     0.299  0.953  0.573
 52  O     0.409  0.798  0.187
 53  O     0.591  0.798  0.313
 54  O     0.591  0.202  0.813
 55  O     0.409  0.202  0.687
 56  O     0.076  0.539  0.118
